GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_029654385.1	42017008	N/A	N/A	
GCA_029655945.1	42018568	N/A	N/A	
GCA_029652185.1	42014808	N/A	N/A	
GCA_029653905.1	42016528	N/A	N/A	
GCA_029652205.1	42014828	N/A	N/A	
GCA_029651505.1	42014128	N/A	N/A	
GCA_029651445.1	42014078	N/A	N/A	
GCA_029651645.1	42014268	N/A	N/A	
GCA_029651745.1	42014368	N/A	N/A	
GCA_029653065.1	42015688	N/A	N/A	
GCA_029651765.1	42014388	N/A	N/A	
GCA_029651605.1	42014228	N/A	N/A	
GCA_029657485.1	42020108	N/A	N/A	
GCA_029654205.1	42016828	N/A	N/A	
GCA_029652345.1	42014978	N/A	N/A	
GCA_029651685.1	42014308	N/A	N/A	
GCA_029659345.1	42021978	N/A	N/A	
GCA_029659605.1	42022228	N/A	N/A	
GCA_029655085.1	42017708	N/A	N/A	
GCA_029659585.1	42022208	N/A	N/A	
GCA_029660225.1	42022848	N/A	N/A	
GCA_029660385.1	42023008	N/A	N/A	
GCA_029651385.1	42014028	N/A	N/A	
